ENERGI1;TID;INDHOLD
Electricity;2015;349.7
Electricity;2016;370.0
Electricity;2017;291.6
Electricity;2018;306.9
Electricity;2019;228.3
Electricity;2020;230.8
Electricity;2021;206.0
Electricity;2022;162.3
Destrict heating;2015;115.5
Destrict heating;2016;108.7
Destrict heating;2017;94.1
Destrict heating;2018;91.9
Destrict heating;2019;85.9
Destrict heating;2020;71.8
Destrict heating;2021;53.5
Destrict heating;2022;61.5
Gas;2015;202.9
Gas;2016;199.1
Gas;2017;194.4
Gas;2018;190.4
Gas;2019;184.2
Gas;2020;170.3
Gas;2021;156.3
Gas;2022;134.2
