EMTYPE8;TID;INDHOLD
Greenhouse gases, total (including CO&#8322, from biomass combustion);2015;106124
Greenhouse gases, total (including CO&#8322, from biomass combustion);2016;112659
Greenhouse gases, total (including CO&#8322, from biomass combustion);2017;113254
Greenhouse gases, total (including CO&#8322, from biomass combustion);2018;113774
Greenhouse gases, total (including CO&#8322, from biomass combustion);2019;110342
Greenhouse gases, total (including CO&#8322, from biomass combustion);2020;99278
Greenhouse gases, total (including CO&#8322, from biomass combustion);2021;110250
Greenhouse gases, total (including CO&#8322, from biomass combustion);2022;103189
Greenhouse gases, total (including CO&#8322, from biomass combustion);2023;98801
Greenhouse gases, total (including CO&#8322, from biomass combustion);2024;104415
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2015;14143
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2016;15229
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2017;16766
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2018;16576
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2019;16708
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2020;17037
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2021;20042
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2022;17718
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2023;17596
Hereof Carbon dioxide (CO&#8322,) from biomass combustion;2024;18288
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2015;39987
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2016;43613
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2017;44393
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2018;46048
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2019;46733
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2020;39022
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2021;46010
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2022;42262
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2023;41380
Hereof international transport conducted by Danish ships, aircraft, and vehicles;2024;48006
