ANTÅR;TID;INDHOLD
1 year;2015;7.7
1 year;2016;8.3
1 year;2017;8.8
1 year;2018;8.7
1 year;2019;8.6
1 year;2020;8.7
1 year;2021;8.4
1 year;2022;8.1
1 year;2023;8.0
2 year in a row;2015;4.7
2 year in a row;2016;4.9
2 year in a row;2017;5.4
2 year in a row;2018;5.7
2 year in a row;2019;5.6
2 year in a row;2020;5.6
2 year in a row;2021;5.5
2 year in a row;2022;5.2
2 year in a row;2023;5.0
3 year in a row;2015;3.1
3 year in a row;2016;3.3
3 year in a row;2017;3.5
3 year in a row;2018;3.8
3 year in a row;2019;4.0
3 year in a row;2020;4.0
3 year in a row;2021;3.9
3 year in a row;2022;3.7
3 year in a row;2023;3.6
4 year in a row;2015;2.1
4 year in a row;2016;2.3
4 year in a row;2017;2.4
4 year in a row;2018;2.5
4 year in a row;2019;2.8
4 year in a row;2020;3.0
4 year in a row;2021;2.9
4 year in a row;2022;2.8
4 year in a row;2023;2.7
