FORMÅL;TID;INDHOLD
Heating and cooling;2015;39.5
Heating and cooling;2016;41.1
Heating and cooling;2017;44.1
Heating and cooling;2018;45.0
Heating and cooling;2019;47.3
Heating and cooling;2020;51.1
Heating and cooling;2021;51.3
Heating and cooling;2022;52.3
Heating and cooling;2023;54.9
Transport;2015;6.4
Transport;2016;6.7
Transport;2017;6.9
Transport;2018;6.9
Transport;2019;7.1
Transport;2020;9.7
Transport;2021;10.5
Transport;2022;10.4
Transport;2023;10.8
Electricity;2015;51.3
Electricity;2016;53.7
Electricity;2017;59.9
Electricity;2018;62.4
Electricity;2019;65.3
Electricity;2020;65.3
Electricity;2021;72.9
Electricity;2022;77.2
Electricity;2023;79.4
